# Datos de IPC del INE. Medias anuales de IPC para Cataluña, Índice general: 
#   http://www.ine.es/jaxiT3/Tabla.htm?t=2605
# Las tasas de inflación se refieren a la media de las tasas interanuales durante los 12
# meses del año. Esta media es calculada por el INE y publicada en la dirección indicada.
# La aplicación calcula internamente un índice de inflación a partir de estas tasas, tal que:
#    Indice Año Actual = 100
#    Indice Año N-1 = Indice Año N / (1+Inflación Año N)
#
# Nota: los presupuestos de un año X se ajustan con el índice de la inflación del año anterior.
# Por tanto el índice del año actual no se usa. De hecho sólo se conoce cuando termina el año.
#
2010,1.8
2011,3.1
2012,2.4
2013,1.3
2014,-0.2
2015,-0.5
2016,0
